tries	proba
there is	il ha
mankind	humanitate
safest	secur
technologies	technologias
nuclear power plant	central nucleari
quietly	quietemente
notices	nota
slowly	lentemente
cuts it down	batte lo
cuts it down	abatte lo
food	alimentari
technique	technica
purely	purmente
is been going on	occurreva
have been going on	occurreva
themselves	se ipse
going	vadente
occasionally	occasionalmente
moving	movite
qualities	qualitates
marketing	marketing
seaplane	hydroplano
guess	suppone
survived	supervivite
whereas	dum
will come	ira
plaything	joculo
organic	biologic
urban-based	basate sur le citate
buying	comprar
buying	comprante
antinuclear	antinuclear
nuclear	nuclear
wrote	ha scribite
romanticize	romantisa
call	denomina
saying	dicer
guy	garson
destroyed	destruite
shouldn't	non deberea
you're	tu es
it's	il es
politicized	politisate
I've	io habeva
making	faciente
nuclear energy	energia nuclear
versus	contra
on	sur le
go away	escappar
make	produce
bitter	amar
reconsideration	reconsideration
trigger	lancear
radionuclides	radionuclides
came	veni
release	emission
uncontrolled	incontrolate
gases	gases
led	portava
favour	favor
dictating	dicta
again going	revertente
said	dicite
perceiving	percipiente
what's	lo que es
think	opina
spoiled	spoliate
labs	laboratorios
stringent	stringente
regulations	regulamentos
afford	tolerar le expensa
happened	occurrite
consolidated	consolidate
regulatory	regulator
wondering	meraviliante
fatalities	fatalitates
evacuated	evacuate
health	sanitari
underground bunker	refugio subterranee
underground	subterranee
dedicated	devotate
cooled	refrigidate
had	habite
meltdown	fusion del nucleo
containment	continemento
United States	SUA
prevented	prevenite
wrong	mal
supporters	supporteres
pushing	propellente
opportunities	opportunitates
nonprofit	nonprofit
grad	universitari
Valid XHTML	XHTML valide
search criteria	criterios de recerca
matching	concordante
(Apache Licence 2.0)	(Licentia Apache 2.0)
threw	generava
set	imponer
Identifier	Identificator
bandwidth	largessa de banda
VirtualBox	CassaVirtual
set to	prefixate a
homepage	pagina domo 
Wiki	Wiki
look	apparer
hdd	disco dur
swap space	spatio de excambio
decompress	expander
entitled	denominate
webmaster	webmaster
QA	QR
Check Rules	Regulas de Controlo
doubled	duplicate
shorter	plus curte
order	ordinal
Inconsistent	inconsistente
words	parolas
start case	Initial majuscula
Check	Controla le
Spellcheck	Controlo Orthographic
Ignore	Ignora
Learn	Apprende
Use	Usa le
Replace	Replacia le
custom	consuete
Cleanup	Reparation
Changed	Mutate
Detecting	discoperir
left	restante
Retrieve	Recupera
simplified	simplificate
typos	errores orthographic
typos	lapsus
identifying	identificante
autosaved	auto-salvate
antler	corno de cervo
hoof	ungula
paw	pata
Sink	lavabo
Suds	bullas
flamingo	flamingo
Eyebrow	fardo de palpebras
Mustache	mustachio
nape	nuca
ring finger	digito anular
Ice axe	hachetta de glacie
Vacuum flask	bottilia thermos
Walkie-talkie	transmissor-receptor portabile
Airbag	Airbag
brake	freno
Bumper	paracolpos
dashboard	pannello a instrumentos
door handle	pessulo
engine	motor
Handbrake	freno a mano
Headlight	pharo
Jack	cric
petrol cap	capsula del gasolina
seat belt	cinctura de securitate
sunroof	tecto aperiente
windscreen	parabrisa
wiper	essugavitro
Chip	fiche
dice	dato
roulette	rRoulette
buckle	fibula
Cuff	manchette
cufflink	button de manchette
pleat	plicate
hard hat	casco
scaffolding	platteforma provisional
scaffolding	scafoltage
phone	telephono
trampoline	trampolino
driving license	patente
pistachio nut	pistacio
foal	asino neonate
auckling	anate juvene
air conditioner	climatisator
headset	bonetto
TV set	televisor
mermaid	sirena
ashtray	cineriera
wizard	mago
witch	maga
burner	becco
reel	bobina
chamomile	camomilla
gerbera	gerbera
snowdrop	alanthus nivalis
Snowdrop	galanthus nivalis
chewing gum	gumma de masticar
cookie	biscuit
porridge	pappa de avena
scrambled eggs	ovos miscite
scrambled	miscite
bookcase	bibliotheca
watering can	rigatorio
decrease	decrescer
learn	apprende
audio	audio
studying	studiar
exam	examine
practicing	practicar
learners	comenciantes
recall	revocation
Active Recall Testing	Test de Revocation Active
read	lege
pausing	retener se
active recall testing	test de revocation active
passive study	tudio passivo
we're	nos es
relearn	reapprender
realizing	realisar
learner	comenciante
memorizing	memorisar
review	revision
grows	cresce
unwieldy	non-maneabile
Spaced Repetition	Iterationes Spatiate
number	quantitate
utilizing	utilisar
learning	saper
popularized	popularisate
computerized	computerisate
flashcard	flashcard
reviewed	revidite
cope	se arrangia
very well	multo ben
biggest	major
optimizes	optimisa
itself	se
based on the	in base al
forgot	oblidava
remembered	recordava
get	devenir
gets	deveni
strong	forte
stronger	plus forte
strong	forte
recall	revoca
bigger	major
meant	significate
deck	fasce
note type	typo de nota
like	agrada
called	denominate
recalling	revocar
discard	elimina
learnt	apprendite
flick	succuter
out	foras
end-users	usatores final
It's	Il es
multi-platform	plure-platteforma
running	executabile
learning	comprension
in-depth	approfundate
scheduling	de programmation
based	fundate
thinking	pensar
deciding	decider
more than	plus quam
reversing	revertente
cards	cartas
Learning	Apprender
Reviewing	Revider
&	e
Browser	Navigator
making	producente
learning	apprender
twice	duo vices
updating	ajornar
editor	quadro Modifica
invaluable	inestimabile
previous	precedente
as	qual
target language	lingua de destination
source language	lingua fonte
later	successivemente
contextual	contextual
reassign	re-assignar
Check	Marca
uncheck	dismarcar
by default	per option predefinite
the source file name	le nomine del file fonte
insets	insere
ignoring	ignorante
displaced	displaciate
Home	A domo
clipboard	Tabula del fragmento
Clicking	Cliccar
scripting languages	linguage de script
Scripting window	Fenestra del Scriptes
stored	locate
Uncheck this option to	Remover le marca a iste option
Uncheck this option to	Remover le marca a iste option pro
removing	remover
Check	Marcar
Check this option to	Marcar iste option pro
so	de maniera que
View menu	menu Vista
uncheck this option to	remover iste marca pro
Inserted	Inserite
Deleted	Delite
Reset	Rassetta
Running	Facer Fluer
In order to	Al fin que
target document	documento rendite
identified	identificate
Enhancement	Meliorationes
Request For Enhancement	Requestas Pro Meliorationes
through the	per le
Click on	Cliccar sur
log file	file log
Generalities	Generalitates
issue	problema
actually	actualmente
running	fluente
post-processing	post-processo
Create Translated Documents	Crear le documentos rendite
it is possible	il es possibile
selecting	seligente
pressing	pulsante
Replace All	Replacia toto
replacement	replaciamento
Replace Next	Replacia le sequente
Skip	Salta
Finish	Fini
Close	Claude
